group,link,name,province,title
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage16224.htm,朱涛,甘肃,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage16785.htm,戴超,甘肃,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage16843.htm,崔景瑜,甘肃,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4806.htm,马学礼,甘肃,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage10950.htm,赵凌云,甘肃,市（区、州）长行署专员
top four,http://ldzl.people.com.cn/dfzlk/front/personPage5025.htm,王建军,青海,省委书记
top four,http://ldzl.people.com.cn/dfzlk/front/personPage4930.htm,王国生,青海,省人大主任
top four,http://ldzl.people.com.cn/dfzlk/front/personPage5025.htm,王建军,青海,省长
top four,http://ldzl.people.com.cn/dfzlk/front/personPage6652.htm,多杰热旦,青海,省政协主席
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage5025.htm,王建军,青海,书 　 记 ：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage16643.htm,刘宁,青海,副 书 记 ：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage6661.htm,王晓,青海,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage6456.htm,公保扎西,青海,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage16644.htm,滕佳材,青海,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage12747.htm,张西明,青海,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage4810.htm,王予波,青海,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage6675.htm,严金海,青海,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage4443.htm,王宇燕,青海,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage4811.htm,于丛乐,青海,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage16777.htm,马吉孝,青海,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage18660.htm,曲新勇,青海,其他常委：
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage4810.htm,王予波,青海,"
            
	      		副 省 长 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage6675.htm,严金海,青海,"
            
	      		副 省 长 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage6678.htm,匡湧,青海,"
            
	      		副 省 长 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage12758.htm,韩建华,青海,"
            
	      		副 省 长 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage15033.htm,王黎明,青海,"
            
	      		副 省 长 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage15631.htm,杨逢春,青海,"
            
	      		副 省 长 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage16251.htm,王正升,青海,"
            
	      		副 省 长 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage16383.htm,田锦尘,青海,"
            
	      		副 省 长 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage18742.htm,张黎,青海,"
            
	      		副 省 长 ： 
	      		
            	
	      	"
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage6661.htm,王晓,青海,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage12763.htm,鸟成云,青海,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4813.htm,尼玛卓玛,青海,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage16824.htm,王振昌,青海,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4817.htm,张文魁,青海,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage12220.htm,武玉嶂,青海,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage14897.htm,吴德军,青海,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4821.htm,文国栋,青海,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4812.htm,张晓容,青海,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage9531.htm,王林虎,青海,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage16222.htm,阿更登,青海,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage16186.htm,乔学智,青海,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4818.htm,索南东智,青海,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4820.htm,白加扎西,青海,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage12143.htm,才让太,青海,市（区、州）长行署专员
